"GUID","CONTENT","ENTITY"
"india-wikipedia","India (Hindi: Bhārat), officially the Republic of India (Hindi: Bhārat Gaṇarājya),[20] is a country in South Asia. It is the seventh-largest country by area, the second-most populous country, and the most populous democracy in the world. Bounded by the Indian Ocean on the south, the Arabian Sea on the southwest, and the Bay of Bengal on the southeast, it shares land borders with Pakistan to the west;[e] China, Nepal, and Bhutan to the north; and Bangladesh and Myanmar to the east. In the Indian Ocean, India is in the vicinity of Sri Lanka and the Maldives; its Andaman and Nicobar Islands share a maritime border with Thailand and Indonesia. Modern humans arrived on the Indian subcontinent from Africa no later than 55,000 years ago.[21] Their long occupation, initially in varying forms of isolation as hunter-gatherers, has made the region highly diverse, second only to Africa in human genetic diversity.[22] Settled life emerged on the subcontinent in the western margins of the Indus river basin 9,000 years ago, evolving gradually into the Indus Valley Civilisation of the third millennium BCE.[23] By 1200 BCE, an archaic form of Sanskrit, an Indo-European language, had diffused into India from the northwest, unfolding as the language of the Rigveda, and recording the dawning of Hinduism in India.[24] The Dravidian languages of India were supplanted in the northern regions.[25] By 400 BCE, stratification and exclusion by caste had emerged within Hinduism,[26] and Buddhism and Jainism had arisen, proclaiming social orders unlinked to heredity.[27] Early political consolidations gave rise to the loose-knit Maurya and Gupta Empires based in the Ganges Basin.[28] Their collective era was suffused with wide-ranging creativity,[29] but also marked by the declining status of women,[30] and the incorporation of untouchability into an organised system of belief.[f][31] In south India, the Middle kingdoms exported Dravidian-languages scripts and religious cultures to the kingdoms of southeast Asia.[32]. In the early medieval era, Christianity, Islam, Judaism, and Zoroastrianism put down roots on India's southern and western coasts.[33] Armed invasions from Central Asia intermittently overran India's plains,[34] eventually establishing the Delhi Sultanate, and drawing northern India into the cosmopolitan networks of medieval Islam.[35] In the 15th century, the Vijayanagara Empire created a long-lasting composite Hindu culture in south India.[36] In the Punjab, Sikhism emerged, rejecting institutionalised religion.[37] The Mughal Empire, in 1526, ushered in two centuries of relative peace,[38] leaving a legacy of luminous architecture.[g][39] Gradually expanding rule of the British East India Company followed, turning India into a colonial economy, but also consolidating its sovereignty.[40] British Crown rule began in 1858. The rights promised to Indians were granted slowly,[41] but technological changes were introduced, and ideas of education, modernity and the public life took root.[42] A pioneering and influential nationalist movement emerged,[43] which was noted for nonviolent resistance and led India to its independence in 1947. India is a secular federal republic governed in a democratic parliamentary system. It is a pluralistic, multilingual and multi-ethnic society. India's population grew from 361 million in 1951 to 1,211 million in 2011.[44] During the same time, its nominal per capita income increased from US$64 annually to US$1,498, and its literacy rate from 16.6% to 74%. From being a comparatively destitute country in 1951,[45] India has become a fast-growing major economy, a hub for information technology services, with an expanding middle class.[46] It has a space programme which includes several planned or completed extraterrestrial missions. Indian movies, music, and spiritual teachings play an increasing role in global culture.[47] India has substantially reduced its rate of poverty, though at the cost of increasing economic inequality.[48] India is a nuclear weapons state, which ranks high in military expenditure. It has disputes over Kashmir with its neighbours, Pakistan and China, unresolved since the mid-20th century.[49] Among the socio-economic challenges India faces are gender inequality, child malnutrition,[50] and rising levels of air pollution.[51] India's land is megadiverse, with four biodiversity hotspots.[52] Its forest cover comprises 21.4% of its area.[53] India's wildlife, which has traditionally been viewed with tolerance in India's culture,[54] is supported among these forests, and elsewhere, in protected habitats.","country-related"
"usa-wikipedia","The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country consisting of 50 states, a federal district, five major self-governing territories, and various possessions.[g] At 3.8 million square miles (9.8 million km2), it is the world's third- or fourth-largest country by total area[c]. Most of the country is located in central North America between Canada and Mexico. With an estimated population of over 328 million, the U.S. is the third most populous country in the world. The capital is Washington, D.C., and the most populous city is New York City. Paleo-Indians migrated from Siberia to the North American mainland at least 12,000 years ago.[19] European colonization began in the 16th century. The United States emerged from the thirteen British colonies established along the East Coast. Numerous disputes between Great Britain and the colonies led to the American Revolutionary War lasting between 1775 and 1783, leading to independence.[20] The United States embarked on a vigorous expansion across North America throughout the 19th century—gradually acquiring new territories,[21] displacing Native Americans, and admitting new states—until 1848 when it spanned the continent.[21] During the second half of the 19th century, the American Civil War led to the abolition of slavery in the United States.[22][23] The Spanish–American War and World War I confirmed the country's status as a global military power. The United States emerged from World War II as a global superpower. It was the first country to develop nuclear weapons and is the only country to have used them in warfare. During the Cold War, the United States and the Soviet Union competed in the Space Race, culminating with the 1969 Apollo 11 mission, the spaceflight that first landed humans on the Moon. The end of the Cold War and collapse of the Soviet Union in 1991 left the United States as the world's sole superpower.[24] The United States is a federal republic and a representative democracy. It is a founding member of the United Nations, World Bank, International Monetary Fund, Organization of American States (OAS), NATO, and other international organizations. It is a permanent member of the United Nations Security Council. A highly developed country, the United States is the world's largest economy by nominal GDP, the second-largest by purchasing power parity, and accounts for approximately a quarter of global GDP.[25] The United States is the world's largest importer and the second-largest exporter of goods, by value.[26][27] Although its population is 4% of the world total,[28] it holds 29.4% of the total wealth in the world, the largest share of global wealth concentrated in a single country.[29] Despite income and wealth disparities, the United States continues to rank very high in measures of socioeconomic performance, including average wage, median income, median wealth, human development, per capita GDP, and worker productivity.[30][31] It is the foremost military power in the world, making up more than a third of global military spending,[32] and is a leading political, cultural, and scientific force internationally.[33]","country-related"
"uk-wikipedia","The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom (UK or U.K.)[14] or Britain,[note 11] is a sovereign country located off the north­western coast of the European mainland. The United Kingdom includes the island of Great Britain, the north­eastern part of the island of Ireland, and many smaller islands.[15] Northern Ireland shares a land border with the Republic of Ireland. Otherwise, the United Kingdom is surrounded by the Atlantic Ocean, with the North Sea to the east, the English Channel to the south and the Celtic Sea to the southwest, giving it the 12th-longest coastline in the world. The Irish Sea separates Great Britain and Ireland. The total area of the United Kingdom is 94,000 square miles (240,000 km2). The United Kingdom is a unitary parliamentary democracy and constitutional monarchy.[note 12][16][17] The current monarch is Queen Elizabeth II, who has reigned since 1952, making her the world's longest-serving current head of state.[18] The United Kingdom's capital is London, a global city and financial centre with an urban area population of 10.3 million.[19] Other major cities include Birmingham, Glasgow, Leeds, Liverpool, and Manchester. The United Kingdom consists of four constituent countries: England, Scotland, Wales and Northern Ireland.[20] Their capitals are London, Edinburgh, Cardiff and Belfast, respectively. Apart from England, the countries have their own devolved governments,[21] each with varying powers,[22][23] but such power is delegated by the Parliament of the United Kingdom, which may enact laws unilaterally altering or abolishing devolution. The nearby Isle of Man, Bailiwick of Guernsey and Bailiwick of Jersey are not part of the UK, being Crown dependencies with the British Government responsible for defence and international representation.[24] The medieval conquest and subsequent annexation of Wales by the Kingdom of England, followed by the union between England and Scotland in 1707 to form the Kingdom of Great Britain, and the union in 1801 of Great Britain with the Kingdom of Ireland created the United Kingdom of Great Britain and Ireland. Five-sixths of Ireland seceded from the UK in 1922, leaving the present formulation of the United Kingdom of Great Britain and Northern Ireland. The UK's current name was adopted in 1927 to reflect the change.[note 13] There are fourteen British Overseas Territories,[25] the remnants of the British Empire which, at its height in the 1920s, encompassed almost a quarter of the world's landmass and was the largest empire in history. British influence can be observed in the language, culture and political systems of many of its former colonies.[26][27][28][29][30]. The United Kingdom has the world's sixth-largest economy by nominal gross domestic product (GDP), and the ninth-largest by purchasing power parity (PPP). It has a high-income economy and a very high human development index rating, ranking 14th in the world. It was the world's first industrialised country and the world's foremost power during the 19th and early 20th centuries.[31][32] The UK remains a great power, with considerable economic, cultural, military, scientific and political influence internationally.[33][34] It is a recognised nuclear weapons state and is sixth in military expenditure in the world.[35] It has been a permanent member of the United Nations Security Council since its first session in 1946. The United Kingdom is a leading member of the Commonwealth of Nations, the Council of Europe, the G7, the G20, NATO, the Organisation for Economic Co-operation and Development (OECD), Interpol and the World Trade Organization (WTO). It was a member of the European Union (EU) and its predecessor, the European Economic Community (EEC) for 47 years, between 1 January 1973 and withdrawal on 31 January 2020.","country-related"
"skorea-wikipedia","South Korea (Korean: 한국/韓國; RR: Hanguk or literally 남한/南韓; RR: Namhan), officially the Republic of Korea (Korean: 대한민국/大韓民國; RR: Daehan Minguk) is a country in East Asia, constituting the southern part of the Korean Peninsula[10] and sharing a land border with North Korea. The name Korea is derived from Goguryeo, which was one of the great powers in East Asia during its time,[11][12][13][14] ruling most of the Korean Peninsula, Manchuria, parts of the Russian Far East[15] and Inner Mongolia[16] under Gwanggaeto the Great.[17] Its capital, Seoul, is a major global city[18] and half of South Korea's over 51 million people live in the Seoul Capital Area, the fourth largest metropolitan economy in the world.[19]. The Korean Peninsula was inhabited as early as the Lower Paleolithic period. Its first kingdom was noted in Chinese records in the early 7th century BC. Following the unification of the Three Kingdoms of Korea into Silla and Balhae in the late 7th century, Korea was ruled by the Goryeo dynasty (918–1392) and the Joseon dynasty (1392–1897). The succeeding Korean Empire was annexed into the Empire of Japan in 1910. After World War II, Korea was divided into Soviet and U.S.-administered zones, with the latter becoming the Republic of Korea in August 1948. In 1950, a North Korean invasion began the Korean War and after its end in 1953, the country's economy began to soar, recording the fastest rise in average GDP per capita in the world between 1980 and 1990. The June Struggle led to the end of authoritarian rule in 1987 and the country is now the most advanced democracy with the highest level of press freedom in Asia.[20][21] It has the 10th highest social mobility in the world, with 17% of children born to parents in the bottom half of educational attainment ending up in the top quarter.[22] South Korea is a member of the OECD's Development Assistance Committee, the G20 and the Paris Club. South Korea is a highly developed country and the world's 12th-largest economy by nominal GDP. Its citizens enjoy the world's fastest Internet connection speeds and the most dense high-speed railway network. It was named the second best country in the world to raise kids in the 2020 UN Child Flourishing Index, with the best chance at survival, thriving and well-being due to good healthcare, education and nutrition.[23][24][25] The world's 5th largest exporter and 8th largest importer, South Korea is a global leader in many technology and innovation driven fields. Since 2014, South Korea has been named the world's most innovative country by the Bloomberg Innovation Index for 6 consecutive years. Since the 21st century, South Korea has been renowned for its globally influential pop culture such as K-pop, TV dramas and cinema, a phenomenon referred to as the Korean Wave.[26][27][28][29][30]","country-related"
"world-wikipedia","The World is Planet Earth and all life on it, including human civilization.[1] In a philosophical context, the world is the whole of the physical Universe, or an ontological world (the world of an individual). In a theological context, the world is the material or the profane sphere, as opposed to the celestial, spiritual, transcendent or sacred spheres. End of the world scenarios refer to the end of human history, often in religious contexts. The history of the World is commonly understood as the history of humanity spanning the major geopolitical developments of about five millennia, from the first civilizations to the present. In terms such as world religion, world language, world government, and world war, the term world suggests an international or intercontinental scope without necessarily implying participation of every part of the world. The world population is the sum of all human populations at any time; similarly, the world economy is the sum of the economies of all societies or countries, especially in the context of globalization. Terms such as world championship, gross world product, and world flags imply the sum or combination of all sovereign states.","country-related"
"tamilnadu-wikipedia","Tamil Nadu (Tamil: [ˈt̪amiɻ ˈn̪aːɽɯ] (About this soundlisten)), is one of the 28 states of India. Its capital and largest city is Chennai. Tamil Nadu lies in the southernmost part of the Indian subcontinent and is bordered by the union territory of Puducherry and the South Indian states of Kerala, Karnataka, and Andhra Pradesh. It is bounded by the Eastern Ghats on the north, by the Nilgiri Mountains, the Meghamalai Hills, and Kerala on the west, by the Bay of Bengal in the east, by the Gulf of Mannar and the Palk Strait on the southeast, and by the Indian Ocean on the south. The state shares a maritime border with the nation of Sri Lanka. The region was ruled by several empires, including the three great empires – Chera, Chola and Pandyan empires, which shape the region's cuisine, culture, and architecture. The British Colonial rule during the modern period led to the emergence of Chennai, then known as Madras, as a world-class city. Modern-day Tamil Nadu was formed in 1956 after the reorganisation of states on linguistic lines. The state is home to a number of historic buildings, multi-religious pilgrimage sites, hill stations and three World Heritage sites.[8][9][10]. Tamil Nadu is the tenth largest Indian state by area and the sixth largest by population. The economy of Tamil Nadu is the second-largest state economy in India with ₹16.64 lakh crore (US$230 billion) in gross domestic product with a per capita GDP of ₹194,000 (US$2,700).[3] Tamil Nadu has the 11th highest ranking among Indian states in human development index.[5] It was ranked as one of the top seven developed states in India based on a Multidimensional Development Index in a 2013 report published by the Reserve Bank of India.[11] Its official language is Tamil, which is one of the longest-surviving classical languages in the world.","country-related"
"kerala-wikipedia","Kerala (/ˈkɛrələ/ (About this soundlisten)) is a state on the southwestern Malabar Coast of India. It was formed on 1 November 1956, following the passage of the States Reorganisation Act, by combining Malayalam-speaking regions of the erstwhile states of Travancore-Cochin and Madras. Spread over 38,863 km2 (15,005 sq mi), Kerala is the twenty-third largest Indian state by area. It is bordered by Karnataka to the north and northeast, Tamil Nadu to the east and south, and the Lakshadweep Sea[11] to the west. With 33,387,677 inhabitants as per the 2011 Census, Kerala is the thirteenth-largest Indian state by population. It is divided into 14 districts with the capital being Thiruvananthapuram. Malayalam is the most widely spoken language and is also the official language of the state.[12]. The Chera Dynasty was the first prominent kingdom based in Kerala. The Ay kingdom in the deep south and the Ezhimala kingdom in the north formed the other kingdoms in the early years of the Common Era (CE or AD). The region had been a prominent spice exporter since 3000 BCE. The region's prominence in trade was noted in the works of Pliny as well as the Periplus around 100 CE. In the 15th century, the spice trade attracted Portuguese traders to Kerala, and paved the way for European colonisation of India. At the time of Indian independence movement in the early 20th century, there were two major princely states in Kerala-Travancore State and the Kingdom of Cochin. They united to form the state of Thiru-Kochi in 1949. The Malabar region, in the northern part of Kerala, had been a part of the Madras province of British India, which later became a part of the Madras State post-independence. After the States Reorganisation Act, 1956, the modern-day state of Kerala was formed by merging the Malabar district of Madras State (excluding Gudalur taluk of Nilgiris district, Topslip, the Attappadi Forest east of Anakatti), the state of Thiru-Kochi (excluding four southern taluks of Kanyakumari district, Shenkottai and Tenkasi taluks), and the taluk of Kasaragod (now Kasaragod District) in South Canara (Tulunad) which was a part of Madras State. The economy of Kerala is the 11th-largest state economy in India with ₹8.76 trillion (US$120 billion) in gross domestic product and a per capita GDP of ₹199,000 (US$2,800).[3][13] Kerala has the lowest positive population growth rate in India, 3.44%; the highest Human Development Index (HDI), 0.784 in 2018 (0.712 in 2015); the highest literacy rate, 93.91% in the 2011 census; the highest life expectancy, 77 years; and the highest sex ratio, 1,084 women per 1,000 men. The state has witnessed significant emigration, especially to the Arab states of the Persian Gulf during the Gulf Boom of the 1970s and early 1980s, and its economy depends significantly on remittances from a large Malayali expatriate community. Hinduism is practised by more than half of the population, followed by Islam and Christianity. The culture is a synthesis of Aryan, Dravidian, Arab, and European cultures,[14] developed over millennia, under influences from other parts of India and abroad. The production of pepper and natural rubber contributes significantly to the total national output. In the agricultural sector, coconut, tea, coffee, cashew and spices are important. The state's coastline extends for 595 kilometres (370 mi), and around 1.1 million people in the state are dependent on the fishery industry which contributes 3% to the state's income. The state has the highest media exposure in India with newspapers publishing in nine languages, mainly English and Malayalam. Kerala is one of the prominent tourist destinations of India, with backwaters, hill stations, beaches, Ayurvedic tourism and tropical greenery as its major attractions.","country-related"
"madurai-wikipedia","Madurai (/ˈmædjʊraɪ/ MAD-yuu-ry,[5][6] also US: /ˌmɑːdəˈraɪ/ MAH-də-RY[6][7][8]) is a major city in the Indian state of Tamil Nadu. It is the cultural capital of Tamil Nadu and the administrative headquarters of Madurai District, the third largest city in Tamil Nadu and 44th most populated city in India.[9] Located on the banks of River Vaigai, Madurai has been a major settlement for two millennia. Madurai is closely associated with the Tamil language, and the third Tamil Sangam, a major congregation of Tamil scholars said to have been held in the city. The recorded history of the city goes back to the 3rd century BCE, being mentioned by Megasthenes, the Greek ambassador to the Maurya empire, and Kautilya, a minister of the Mauryan emperor Chandragupta Maurya. Signs of human settlements and Roman trade links dating back to 300 BC are evident from excavations by Archeological Survey of India in Manalur.[10][11][12] The city is believed to be of significant antiquity and has been ruled, at different times, by the Pandyas, Cholas, Madurai Sultanate, Vijayanagar Empire, Madurai Nayaks, Carnatic kingdom, and the British East India Company British Raj. The city has a number of historical monuments, with the Meenakshi Temple and the Tirumalai Nayak Palace being the most prominent. Madurai is an important industrial and educational hub in South Tamil Nadu. The city is home to various automobile, rubber, chemical and granite manufacturing industries.[13]. Madurai has important government educational institutes such as the Madurai Medical College, Homeopathic Medical College,[14] Madurai Law College, Agricultural College and Research Institute. Madurai city is administered by a municipal corporation established in 1971 as per the Municipal Corporation Act. The city covers an area of 147.97 km2 and had a population of 1,470,755 in 2011.[15] The city is also the seat of a bench of the Madras High Court. The Madurai Bench has been functioning since 2004.","country-related"
"chennai-wikipedia","Chennai (/ˈtʃɛnaɪ/ (About this soundlisten), Tamil: [ˈt͡ʃenːai]), also known as Madras (/məˈdrɑːs/ (About this soundlisten) or /-ˈdræs/,[13] the official name until 1996), is the capital of the Indian state of Tamil Nadu. Located on the Coromandel Coast off the Bay of Bengal, it is the biggest cultural, economic and educational centre of south India.[dubious – discuss] According to the 2011 Indian census, it is the sixth-most populous city and fourth-most populous urban agglomeration in India. The city together with the adjoining regions constitutes the Chennai Metropolitan Area, which is the 36th-largest urban area by population in the world.[14] Chennai is among the most-visited Indian cities by foreign tourists. It was ranked the 43rd-most visited city in the world for the year 2015.[15] The Quality of Living Survey rated Chennai as the safest city in India.[promotional language][dubious – discuss][16] Chennai attracts 45 percent of health tourists visiting India, and 30 to 40 percent of domestic health tourists.[17] As such, it is termed India's health capital.[18][19]. Chennai had the third-largest expatriate population in India, at 35,000 in 2009, 82,790 in 2011 and estimated at over 100,000 by 2016.[20][21] Tourism-guide publisher Lonely Planet named Chennai as one of the top ten cities in the world to visit in 2015.[22] Chennai is ranked as a beta-level city in the Global Cities Index,[23] and was ranked the best city in India[promotional language] by India Today in the 2014 annual Indian city survey.[24][25] In 2015 Chennai was named the hottest city (city worth visiting and worth living in for long term) by the BBC, citing the mixture of both modern and traditional values.[26] National Geographic mentioned Chennai as the only South Asian city to feature in its 2015 Top 10 food cities list.[27] Chennai was also named the ninth-best cosmopolitan city in the world by Lonely Planet.[promotional language][28] In October 2017, Chennai was added to the UNESCO Creative Cities Network (UCCN) list for its rich musical tradition.[29]. The Chennai Metropolitan Area is one of the largest municipal economies of India. Chennai is nicknamed The Detroit of India,[1] with more than one-third of India's automobile industry being based in the city. Home to the Tamil film industry, Chennai is also known as a major film production centre. Chennai is one of the 100 Indian cities to be developed as a smart city under the Smart Cities Mission.[30]","country-related"
"tamils-wikipedia","The Tamil people, also known as Tamilar, Thamizhar (Tamil: தமிழர், tamiẓhar (singular) ? [t̪amiɻaɾ], or Tamil: தமிழர்கள், tamiẓarkaḷ (plural) ? [t̪amiɻaɾxaɭ]), or simply Tamils (/ˈtæmɪl/), are a Dravidian group which speaks natively the Tamil language and trace their ancestry to Tamil Nadu and Sri Lanka.[7] Tamils constitute 5.9% of the population in India (concentrated mainly in Tamil Nadu), 15% in Sri Lanka,[note 2] 6% in Mauritius,[14] 7% in Malaysia and 5% in Singapore. Tamils, with a population of around 76 million and with a documented history stretching back over 2,000 years, are one of the largest and oldest extant ethnolinguistic groups in the modern world.[15]. From the 4th century BC onwards,[16] urbanisation and mercantile activity along the western and eastern coasts of what is today Kerala and Tamil Nadu led to the development of four large Tamil political states, the Cheras, Cholas, Pandyas and Pallavas and a number of smaller states, all of whom were warring amongst themselves for dominance. The Jaffna Kingdom, inhabited by Sri Lankan Tamils, was once one of the strongest kingdoms of Sri Lanka, and controlled much of the north of the island.[17][18]. Tamils were noted for their influence on regional trade throughout the Indian Ocean. Artifacts marking the presence of Roman traders show direct trade was active between Rome and southern India, and the Pandyas were recorded as having sent at least two embassies directly to Emperor Augustus in Rome. The Pandyas and Cholas were historically active in Sri Lanka. The Chola dynasty successfully invaded several areas in southeast Asia, including the powerful Srivijaya and the Malay city-state of Kedah.[19] Medieval Tamil guilds and trading organizations like the Ayyavole and Manigramam played an important role in Southeast Asian trading networks.[20] Pallava traders and religious leaders travelled to Southeast Asia and played an important role in the cultural Indianisation of the region. Scripts brought by Tamil traders to Southeast Asia, like the Grantha and Pallava scripts, induced the development of many Southeast Asian scripts such as Khmer, Javanese Kawi script, Baybayin and Thai. The Tamil language is one of the world's longest-surviving classical languages,[21][22] with a history dating back to 300 BCE. Tamil literature is dominated by poetry, especially Sangam literature, which is composed of poems composed between 300 BCE and 300 CE. The most important Tamil author was the poet and philosopher Thiruvalluvar, who wrote the Tirukkuṛaḷ, a group of treatises on ethics, politics, love and morality widely considered the greatest work of Tamil literature.[23] Tamil visual art is dominated by stylised Temple architecture in major centres and the productions of images of deities in stone and bronze. Chola bronzes, especially the Nataraja sculptures of the Chola period, have become notable symbols of Hinduism. A major part of Tamil performing arts is its classical form of dance, the Bharatanatyam, whereas the popular forms are known as Koothu. Classical Tamil music is dominated by the Carnatic genre, while gaana and dappan koothu are also popular genres. Although most Tamil people are Hindus, many (especially those in the rural areas) practice what is considered to be Dravidian folk religion, venerating a plethora of village deities, while a sizeable number are Muslims and Christians. A small Jain community survives from the classical period as well. Tamil cuisine is informed by varied vegetarian and non-vegetarian items usually spiced with locally available spices. The music, the temple architecture and the stylised sculptures favoured by the Tamil people as in their ancient nation are still being learnt and practised. English historian and broadcaster Michael Wood called the Tamils the last surviving classical civilisation on Earth, because the Tamils have preserved substantial elements of their past regarding belief, culture, music and literature despite the influence of globalization.[24][25]","language-related"
